iter	Passed	Remaining
974	109201	58800
975	109320	58692
976	109419	58573
977	109519	58455
978	109614	58334
979	109719	58218
980	109836	58108
981	109960	58003
982	110063	57887
983	110191	57783
984	110301	57670
985	110405	57554
986	110506	57436
987	110614	57322
988	110712	57203
989	110811	57084
990	110904	56963
991	110999	56842
992	111103	56726
993	111207	56610
994	111313	56495
995	111413	56377
996	111516	56261
997	111617	56144
998	111712	56024
999	111822	55911
1000	111932	55798
1001	112030	55679
1002	112123	55558
1003	112216	55437
1004	112311	55317
1005	112410	55199
1006	112504	55078
1007	112599	54959
1008	112686	54835
1009	112787	54718
1010	112884	54599
1011	112976	54479
1012	113069	54358
1013	113165	54239
1014	113258	54118
1015	113356	54000
1016	113460	53885
1017	113554	53765
1018	113641	53642
1019	113739	53524
1020	113832	53404
1021	113929	53286
1022	114019	53164
1023	114113	53044
1024	114204	52924
1025	114295	52803
1026	114389	52683
1027	114489	52567
1028	114577	52445
1029	114673	52326
1030	114775	52210
1031	114876	52094
1032	114974	51978
1033	115068	51858
1034	115163	51740
1035	115260	51622
1036	115351	51502
1037	115460	51390
1038	115555	51271
1039	115651	51153
1040	115758	51040
1041	115857	50923
1042	115950	50804
1043	116073	50698
1044	116170	50581
1045	116262	50462
1046	116375	50351
1047	116467	50232
1048	116558	50112
1049	116661	49997
1050	116772	49886
1051	116897	49781
1052	117022	49676
1053	117170	49580
1054	117297	49476
1055	117422	49370
1056	117535	49260
1057	117648	49149
1058	117762	49039
1059	117876	48929
1060	117989	48819
1061	118119	48715
1062	118259	48616
1063	118381	48509
1064	118502	48402
1065	118614	48291
1066	118717	48176
1067	118834	48067
1068	118958	47961
1069	119076	47853
1070	119174	47736
1071	119288	47626
1072	119412	47520
1073	119528	47410
1074	119641	47300
1075	119769	47195
1076	119901	47092
1077	120076	47005
1078	120213	46904
1079	120356	46805
1080	120480	46698
1081	120615	46596
1082	120735	46488
1083	120860	46381
1084	120993	46278
1085	121114	46170
1086	121222	46057
1087	121334	45946
1088	121444	45834
1089	121559	45724
1090	121685	45618
1091	121844	45524
1092	121960	45414
1093	122087	45308
1094	122210	45201
1095	122363	45104
1096	122528	45012
1097	122672	44912
1098	122808	44810
1099	122945	44707
1100	123077	44602
1101	123217	44501
1102	123389	44411
1103	123543	44314
1104	123682	44212
1105	123825	44111
1106	123941	44000
1107	124066	43893
1108	124177	43781
1109	124295	43671
1110	124409	43560
1111	124510	43444
1112	124640	43338
1113	124780	43236
1114	124908	43130
1115	125036	43023
1116	125172	42919
1117	125297	42811
1118	125419	42703
1119	125539	42593
1120	125660	42484
1121	125773	42372
1122	125889	42262
1123	126006	42151
1124	126116	42038
1125	126240	41930
1126	126354	41819
1127	126480	41711
1128	126594	41600
1129	126717	41491
1130	126843	41383
1131	126959	41273
1132	127083	41164
1133	127216	41059
1134	127341	40951
1135	127458	40840
1136	127597	40737
1137	127694	40619
1138	127815	40510
1139	127932	40399
1140	128043	40287
1141	128160	40176
1142	128280	40066
1143	128395	39955
1144	128509	39843
1145	128628	39733
1146	128745	39622
1147	128855	39509
1148	128966	39396
1149	129076	39284
1150	129197	39174
1151	129315	39064
1152	129436	38954
1153	129554	38844
1154	129665	38731
1155	129768	38616
1156	129864	38499
1157	129970	38385
1158	130069	38268
1159	130167	38152
1160	130261	38035
1161	130355	37917
1162	130443	37798
1163	130539	37681
1164	130628	37562
1165	130724	37445
1166	130818	37328
1167	130913	37211
1168	131005	37093
1169	131107	36979
1170	131209	36864
1171	131315	36750
1172	131413	36634
1173	131533	36524
1174	131635	36409
1175	131743	36296
1176	131845	36181
1177	131941	36065
1178	132045	35951
1179	132145	35836
1180	132240	35719
1181	132335	35603
1182	132440	35489
1183	132543	35374
1184	132639	35258
1185	132745	35145
1186	132849	35031
1187	132958	34918
1188	133059	34803
1189	133174	34692
